microscope,sample,i_layer,i_sio2,contrast_percent,calculated_layer,rounded_layer,is_reference
Zeiss,701,0.3761,0.4309,12.71756788,1.63226904,2,0
Zeiss,702,0.6197,0.7093,12.63217256,1.621308758,2,0
Zeiss,702,0.41,0.689,40.4934688,5.197238659,5,0
Zeiss,702,0.439,0.7037,37.61546113,4.827853345,5,0
Zeiss,702,0.4979,0.7087,29.74460279,3.817647738,4,0
Zeiss,702,0.4648,0.7057,34.13631855,4.38131382,4,0
Zeiss,703,0.6622,0.7448,11.09022556,1.423403595,1,0
Zeiss,704,0.4821,0.5527,12.77365659,1.639467891,2,0
Zeiss,705,0.3714,0.6419,42.14052033,5.408633735,5,0
Zeiss,705,0.4261,0.634,32.79179811,4.208747877,4,0
Zeiss,706,0.5174,0.6424,19.45828144,2.497423302,2,0
Zeiss,707,0.4942,0.5605,11.82872435,1.518188126,2,0
Zeiss,707,0.5136,0.5489,6.431043906,0.8254089116,1,0
Zeiss,708,0.4071,0.5756,29.27380125,3.7572215,4,0
Zeiss,708,0.3528,0.5748,38.62212944,4.957056784,5,0
Zeiss,801,0.4802,0.7288,34.11086718,4.378047198,4,0
Zeiss,802,0.5091,0.6735,24.40979955,3.132938661,3,0
Zeiss,803,0.4022,0.6534,38.44505663,4.934329918,5,0
Zeiss,803,0.5726,0.6577,12.93902995,1.660693161,2,0
Zeiss,803,0.5515,0.6331,12.88895909,1.654266687,2,0
Zeiss,804,0.5055,0.6699,24.54097627,3.149774874,3,0
Zeiss,805,0.5517,0.7714,28.48068447,3.655426882,4,0
Zeiss,805,0.5902,0.7751,23.85498645,3.061729743,3,0
Zeiss,805,0.673,0.7672,12.27841502,1.575904833,2,0
Zeiss,806,0.6419,0.783,18.02043423,2.312879094,2,0
Zeiss,901,0.30571,0.32517,5.984561921,0.7681040301,1,0
Zeiss,902,0.2666,0.3294,19.06496661,2.446942295,2,0
Zeiss,902,0.2781,0.3246,14.32532348,1.838620577,2,0
Zeiss,903,0.2979,0.321,7.196261682,0.9236227601,1,0
Zeiss,1001,0.278,0.3214,13.50342253,1.733131581,2,0
Zeiss,1001,0.2579,0.3176,18.79722922,2.41257885,2,0
Zeiss,1001,0.2506,0.3168,20.89646465,2.682010633,3,0
Zeiss,1001,0.2193,0.3164,30.68900126,3.938858994,4,0
Zeiss,1001,0.2583,0.3208,19.48254364,2.500537296,3,0
Zeiss,1101,0.2156,0.3139,31.31570564,4.019294983,4,0
Zeiss,1102,0.2705,0.306,11.60130719,1.488999683,1,0
Zeiss,1103,0.2703,0.3137,13.83487408,1.775672585,2,0
Nikon,53,0.4822,0.5336,9.632683658,1.0,1,1
Nikon,53,0.4304,0.5331,19.2646783,1.999928471,2,0
Nikon,53,0.384,0.5342,28.11681018,2.91889687,3,0
Nikon,52,0.3091,0.4393,29.63806055,3.076822784,3,0
Nikon,64,0.1761,0.3255,45.89861751,4.764883717,5,0
Nikon,64,0.2317,0.321,27.81931464,2.888012897,3,0
Nikon,61,0.5957,0.6435,7.428127428,0.771137898,1,0
Nikon,61,0.4562,0.6512,29.94471744,3.108657827,3,0
Nikon,61,0.4951,0.6419,22.86960586,2.374167643,2,0
Nikon,61,0.3851,0.6479,40.56181509,4.210853022,4,0
Nikon,65,0.4824,0.5297,8.929582783,0.9270088274,1,0
Nikon,71,0.5087,0.6241,18.4906265,1.919571654,2,0
Nikon,74,0.5606,0.612,8.39869281,0.8718954249,1,0
Nikon,73,0.3678,0.4114,10.59795819,1.100208267,1,0
Nikon,73,0.289,0.4081,29.18402352,3.029687734,3,0
Nikon,73,0.2585,0.4062,36.36139833,3.774794192,4,0
Nikon,73,0.2311,0.4071,43.23262098,4.488118007,4,0
Nikon,91,0.2324,0.4988,53.40817963,5.544475613,6,0
Nikon,91,0.3639,0.4927,26.14166836,2.713851019,3,0
Nikon,91,0.2506,0.5062,50.49387594,5.241932335,5,0
Nikon,101,0.396,0.4888,18.98527005,1.970922198,2,0
Nikon,101,0.4349,0.4852,10.36685903,1.076217116,1,0
Nikon,101,0.329,0.4826,31.8276005,3.304125997,3,0
Nikon,101,0.329,0.4859,32.29059477,3.352190928,3,0
Nikon,101,0.3249,0.478,32.0292887,3.325063901,3,0
Nikon,102,0.2426,0.3369,27.99050163,2.905784372,3,0
Nikon,102,0.1836,0.3371,45.53544942,4.727182065,5,0
Nikon,102,0.2232,0.3332,33.01320528,3.427207459,3,0
Nikon,102,0.1565,0.336,53.42261905,5.545974616,6,0
Nikon,102,0.179,0.3371,46.90002966,4.868843547,5,0
Nikon,103,0.2703,0.3332,18.87755102,1.959739538,2,0
Nikon,103,0.1837,0.3367,45.44104544,4.717381682,5,0
Nikon,103,0.1442,0.3365,57.14710253,5.932625274,6,0
Nikon,103,0.3015,0.3332,9.513805522,0.9876588768,1,0
Nikon,103,0.2423,0.3335,27.34632684,2.838910506,3,0
Nikon,131,0.2508,0.3095,18.96607431,1.968929427,2,0
Nikon,131,0.1296,0.3132,58.62068966,6.085603113,6,0
Nikon,131,0.1519,0.3095,50.92084006,5.28625686,5,0
Nikon,141,0.1565,0.2981,47.50083864,4.931215467,5,0
Nikon,151,0.2199,0.3689,40.39034969,4.193052645,4,0
Nikon,151,0.2702,0.3645,25.87105624,2.685757901,3,0
Nikon,151,0.2978,0.3644,18.2766191,1.897354854,2,0
Nikon,152,0.2782,0.4151,32.98000482,3.423760812,3,0
Nikon,152,0.2311,0.4158,44.42039442,4.611424604,5,0
Nikon,152,0.2786,0.416,33.02884615,3.428831188,3,0
Nikon,161,0.3722,0.5921,37.13899679,3.8555192,4,0
Nikon,162,0.3133,0.6178,49.2877954,5.116725219,5,0
Nikon,181,0.3647,0.544,32.95955882,3.421638247,3,0
Nikon,181,0.2818,0.5395,47.76645042,4.958789483,5,0
Nikon,182,0.3954,0.5946,33.50151362,3.477900325,3,0
Nikon,183,0.2944,0.6191,52.44710063,5.444702898,5,0
Nikon,184,0.3324,0.5996,44.56304203,4.626233313,5,0
Nikon,185,0.4311,0.5797,25.63394859,2.66114299,3,0
Nikon,185,0.2467,0.5838,57.74237753,5.994422694,6,0
Nikon,191,0.2863,0.5676,49.55954898,5.144936836,5,0
Nikon,201,0.3606,0.5838,38.23227133,3.96901556,4,0
Nikon,202,0.4467,0.5919,24.53117081,2.546660067,3,0
Nikon,203,0.4861,0.5961,18.45327965,1.915694557,2,0
Nikon,203,0.2071,0.5992,65.43724967,6.793252222,7,0
Nikon,301,0.4702,0.5723,17.84029355,1.85205849,2,0
Nikon,302,0.4228,0.5722,26.10975184,2.710537661,3,0
Nikon,304,0.2112,0.4817,56.15528337,5.829661324,6,0
Nikon,401,0.4585,0.5527,17.04360413,1.769351588,2,0
Nikon,402,0.3917,0.584,32.92808219,3.418370556,3,0
Nikon,402,0.3564,0.5797,38.5199241,3.998877724,4,0
Nikon,403,0.4743,0.5726,17.16730702,1.782193585,2,0
Nikon,403,0.4311,0.5797,25.63394859,2.66114299,3,0
Nikon,403,0.3523,0.5757,38.80493312,4.028465431,4,0
Nikon,501,0.3212,0.5757,44.20705228,4.589276868,5,0
Nikon,601,0.451,0.549,17.85063752,1.853132331,2,0
Nikon,602,0.3411,0.5595,39.03485255,4.052334109,4,0
Nikon,701,0.3915,0.5756,31.98401668,3.320364066,3,0
Nikon,701,0.3564,0.5838,38.95169579,4.043701337,4,0
Nikon,701,0.478,0.5804,17.64300482,1.83157731,2,0
Nikon,702,0.4977,0.5998,17.02234078,1.767144171,2,0
Nikon,702,0.3523,0.5838,39.65399109,4.116608881,4,0
Nikon,702,0.3249,0.583,44.27101201,4.595916733,5,0
Nikon,702,0.2778,0.588,52.75510204,5.476677519,5,0
Nikon,702,0.3006,0.588,48.87755102,5.074136425,5,0
Nikon,703,0.4469,0.5448,17.96989721,1.865513064,2,0
Nikon,704,0.4233,0.5173,18.17127392,1.886418631,2,0
Nikon,705,0.2539,0.5527,54.06187805,5.612338158,6,0
Nikon,705,0.3095,0.5527,44.00217116,4.568007496,5,0
Nikon,706,0.3448,0.4705,26.7162593,2.77350116,3,0
Nikon,708,0.3054,0.5054,39.57261575,4.108161044,4,0
Nikon,708,0.2506,0.5087,50.73717319,5.267189808,5,0
Nikon,801,0.2548,0.4627,44.93192133,4.664527864,5,0
Nikon,802,0.3405,0.4971,31.50271575,3.270398662,3,0
Nikon,803,0.2888,0.5004,42.28617106,4.389863984,4,0
Nikon,803,0.4114,0.4981,17.40614334,1.806987955,2,0
Nikon,803,0.4309,0.5089,15.32717626,1.591163668,2,0
Nikon,804,0.3405,0.5095,33.16977429,3.443461393,3,0
Nikon,805,0.3091,0.5015,38.36490528,3.98278472,4,0
Nikon,805,0.411,0.5015,18.04586241,1.873399258,2,0
Nikon,805,0.3373,0.4981,32.28267416,3.351368664,3,0
Nikon,806,0.3761,0.5056,25.61313291,2.658982047,3,0
Nikon,901,0.4626,0.5058,8.540925267,0.8866610355,1,0
Nikon,902,0.423,0.5136,17.64018692,1.831284774,2,0
Nikon,903,0.4582,0.5055,9.357072206,0.971387885,1,0
Nikon,1001,0.4039,0.5492,26.45666424,2.746551758,3,0
Nikon,1001,0.466,0.5643,17.41981216,1.808406959,2,0
Nikon,1001,0.427,0.5643,24.33102959,2.525882761,3,0
Nikon,1001,0.4705,0.5647,16.68142376,1.731752475,2,0
Nikon,1001,0.3205,0.5253,38.98724538,4.047391855,4,0
Nikon,1101,0.3286,0.5328,38.32582583,3.978727755,4,0
Nikon,1101,0.439,0.5332,17.66691673,1.834059682,2,0
Nikon,1103,0.4311,0.5214,17.31875719,1.797916116,2,0
